df2_title	df2_name_parts	df1_title	df1_name_parts
Nakhum Stutchkoff	{"given-name": "Nakhum", "surname": "Stutchkoff"}	nkhum (stutshko) stutshkov	{"primary-name": "stutshko", "given-name": "nkhum", "alternative-name": "stutshko", "surname": "stutshkov"}
Rosa Leah Surits	{"given-name": "Rosa", "middle-name": "Leah", "surname": "Surits"}	roze-ih (ievyus) suryts	{"primary-name": "suryts", "given-name": "roze-ih", "alternative-name": "ievyus", "surname": "suryts"}
Susan	{"given-name": "Susan"}	suzan (tsyri goidenverg)	{"given-name": "suzan", "alternative-name": "tsyri", "surname": "goidenverg"}
Isaac Swerdlow	{"given-name": "Isaac", "surname": "Swerdlow"}	ytskhk sverdiov	{"given-name": "ytskhk", "surname": "sverdiv"}
Sara Sylvia	{"given-name": "Sara", "middle-name": "Sylvia"}	sara (goidshteyn) syivya	{"given-name": "sara", "alternative-name": "goidshteyn", "surname": "syivya"}
Avraham Tabak	{"given-name": "Avraham", "surname": "Tabak"}	brhm tavak	{"given-name": "brhm", "surname": "tavk"}
Sholom Tanin	{"given-name": "Sholom", "surname": "Tanin"}	shium (tankus) tanyn	{"primary-name": "shium", "alternative-name": "tankus", "surname": "tanyn"}
[?] Tankel	{"given-name": "[?]", "surname": "Tankel"}	tankei	{}: 
Berta Tanzman	{"given-name": "Berta", "surname": "Tanzman"}	verta (veriyn) tantsman	{"given-name": "verta", "alternative-name": "beriyn", "surname": "tantsman"}
Ruth Taru	{"given-name": "Ruth", "surname": "Taru"}	rus (reyzi tukhmakher) tary	{"given-name": "rus", "alternative-name": "reyzi", "surname": "tary", "professional-name": "tukhmakher"}
Sidy Thal	{"given-name": "Sidy", "surname": "Thal"}	sydy (saiy vyrkentai) thi	{"given-name": "sydy", "alternative-name": "saiy", "surname": "thi"}
Boris Thomashefsky	{"given-name": "Boris", "surname": "Thomashefsky"}	vorys (vrukh-hrn) tomashevsky	{"given-name": "vorys", "alternative-name": "brukh-hrn", "surname": "tomashevsky"}
Harry Thomashefsky	{"given-name": "Harry", "surname": "Thomashefsky"}	hery (hersh-yunh) tomashevsky	{"given-name": "hery", "alternative-name": "hersh-yunh", "surname": "tomashevsky"}
Mike Thomashefsky	{"given-name": "Mike", "surname": "Thomashefsky"}	meyk (mrdkhy) tomashevsky	{"given-name": "meyk", "alternative-name": "mrdkhy", "surname": "tomashevsky"}
Matias Thur	{"given-name": "Matias", "surname": "Thur"}	matyas (mtsyhu) thur	{"primary-name": "matyas", "alternative-name": "mtsyhu", "surname": "thur"}
Adolf Timianoff	{"given-name": "Adolf", "surname": "Timianoff"}	adoif (tymyanko) tymyanof	{"given-name": "adoif", "alternative-name": "tymyanko", "surname": "tymyanof"}
Samuel Tornberg	{"given-name": "Samuel", "surname": "Tornberg"}	semyuei (shmui) tornverg	{"primary-name": "tornverg", "given-name": "shmui", "alternative-name": "semyuei", "surname": "tornverg"}
Nosen Treystman	{"given-name": "Nosen", "surname": "Treystman"}	nosen (nkhemye) treystman	{"given-name": "nosen", "alternative-name": "nkhemye", "surname": "treystman"}
Ilya Trilling	{"given-name": "Ilya", "surname": "Trilling"}	yiya (symon) tryiyng	{"given-name": "yiya", "alternative-name": "symon", "surname": "tryiyng"}
Rina Tselzar	{"given-name": "Rina", "surname": "Tselzar"}	ryna (zeiygson) tseizar	{"given-name": "ryna", "alternative-name": "zeiygson", "surname": "tseizar"}
Lisa Tuchman	{"given-name": "Lisa", "surname": "Tuchman"}	iyza (keydan) tukhman	{"given-name": "iyza", "alternative-name": "keydan", "surname": "tukhman"}
Miriam Tufman	{"given-name": "Miriam", "surname": "Tufman"}	mrym (pkentreger) tuman	{"given-name": "mrym", "alternative-name": "pkentreger", "surname": "tuman"}
George Tuller	{"given-name": "George", "surname": "Tuller"}	dzhodzh (zimn toier) tuiier	{"given-name": "zimn", "alternative-name": "dzhodzh", "surname": "tuiier"}
Herman Tunis	{"given-name": "Herman", "surname": "Tunis"}	herman (kheym-hersh avend) tunys	{"primary-name": "herman", "given-name": "kheym", "alternative-name": "hersh", "surname": "tunys"}
Der Tunkeler	{"surname": "Tunkeler", "honorific": "Der"}	der (yusf tunkei) tunkeier	{"primary-name": "tunkei", "given-name": "yusf", "alternative-name": "tunkei", "surname": "tunkeier"}
Ulrich	{"given-name": "Ulrich"}	uirykh	{"given-name": "uirykh"}
Pepi Urich	{"given-name": "Pepi", "surname": "Urich"}	pepy (peri) urykh	{"given-name": "pepy", "alternative-name": "pir", "surname": "urykh"}
Morris Vaksman	{"given-name": "Morris", "surname": "Vaksman"}	morys (mshh dud) vaksman	{"given-name": "mshh", "alternative-name": "morys", "middle-name": "dud", "surname": "vksmn"}
Roza Vaksman	{"given-name": "Roza", "surname": "Vaksman"}	roza (rkhi dyntens) vaksman	{"given-name": "roza", "alternative-name": "rkhi", "middle-name": "dyntens", "surname": "voksman"}
David Vardi	{"given-name": "David", "surname": "Vardi"}	dud (rozeneid) vardy	{"given-name": "dud", "alternative-name": "rozeneid", "surname": "vardy"}
Saltshe Vaynberg	{"given-name": "Saltshe", "surname": "Vaynberg"}	sitshe (shrh iykht) veynverg	{"primary-name": "sitshe", "given-name": "shrh", "alternative-name": "iykht", "surname": "veynverg"}
Sophia Vaynshtok	{"given-name": "Sophia", "surname": "Vaynshtok"}	soye (rydman) veynshtok	{"given-name": "soye", "alternative-name": "rydman", "surname": "veynshtok"}
Marsela Vays	{"given-name": "Marsela", "surname": "Vays"}	marseia (ievyn) veys	{"given-name": "marseia", "alternative-name": "ievyn", "surname": "veys"}
Helena Velish	{"given-name": "Helena", "surname": "Velish"}	heiena (ynventarzh) veiysh	{"given-name": "heiena", "alternative-name": "ynventarzh", "surname": "veiysh"}
Vitya Viktorov	{"given-name": "Vitya", "surname": "Viktorov"}	vyty (abygdur) vyktorov	{"given-name": "abygdur", "alternative-name": "vyty", "surname": "vykturu"}
Frida Vitalina	{"given-name": "Frida", "middle-name": "Vitalina"}	ryd (iapyn) vyaiyn	{"primary-name": "vyaiyn", "given-name": "ryd", "alternative-name": "iapyn", "surname": "vyaiyn"}
B. Vladeck	{"given-name": "B.", "surname": "Vladeck"}	v (brukh-nkhmn tsharny) viadek	{"given-name": "brukh-nkhmn", "alternative-name": "tsharny", "surname": "viadek", "honorific": "v"}
Velvl Vladir	{"given-name": "Velvl", "surname": "Vladir"}	veivi vidyr	{"primary-name": "veivi vidyr", "given-name": "veivi", "surname": "uidyr"}
M. Volgeshafen	{"given-name": "M.", "surname": "Volgeshafen"}	m voigeshaen	{"surname": "vigshyn", "acronym": "m"}
David Volkenshteyn	{"given-name": "David", "surname": "Volkenshteyn"}	dud vetshteyn	{"given-name": "dud", "surname": "vetshteyn"}
Lyuba Vyesyolaya	{"given-name": "Lyuba", "surname": "Vyesyolaya"}	iyuva (shoskyn) vyesyoiaya	{"primary-name": "iyuva", "alternative-name": "shoskyn", "surname": "vyesyoiaya"}
Ella Wallerstein	{"given-name": "Ella", "surname": "Wallerstein"}	eia (geshpas) vaiershteyn	{"given-name": "eia", "alternative-name": "geshpas", "surname": "vaiershteyn"}
Esther Wallerstein	{"given-name": "Esther", "surname": "Wallerstein"}	ssr (goidshteyn) vaiershteyn	{"given-name": "ssr", "alternative-name": "goidshteyn", "surname": "vaiershteyn"}
Hymie Wallerstein	{"given-name": "Hymie", "surname": "Wallerstein"}	dzheny vaiyer	{"given-name": "dzheny", "surname": "vaiyer"}
Pola Walter	{"given-name": "Pola", "surname": "Walter"}	poiya (shreyder) vaiter	{"primary-name": "vitr", "alternative-name": "poiya", "surname": "viter"}
Feivl Warshavsky	{"given-name": "Feivl", "surname": "Warshavsky"}	eyi (yserovsky) varshavsky	{"primary-name": "eyi", "alternative-name": "yserovsky", "surname": "varshavsky"}
Miriam Weide	{"given-name": "Miriam", "surname": "Weide"}	mrym (veydeneid) veyde	{"primary-name": "mrym", "alternative-name": "veydeneid", "surname": "veyde"}
Charles Weinblatt	{"given-name": "Charles", "surname": "Weinblatt"}	tsharis (kimn) veynviat	{"given-name": "tsharis", "alternative-name": "kimn", "surname": "veynviat"}
Israel Weinblatt	{"given-name": "Israel", "surname": "Weinblatt"}	yshri (vurtsi) veynviat	{"primary-name": "veynviat", "given-name": "yshri", "alternative-name": "vurtsi"}
Frances Weintraub	{"given-name": "Frances", "surname": "Weintraub"}	rentsys (eyge) veyntroyv	{"primary-name": "rentsys", "alternative-name": "eyge", "surname": "veyntroyv"}
Rebecca Weintraub	{"given-name": "Rebecca", "surname": "Weintraub"}	rbkh (useid) veyntroyv	{"given-name": "rbkh", "alternative-name": "useid", "surname": "veyntroyv"}
Simcha Weintraub	{"given-name": "Simcha", "surname": "Weintraub"}	shmkhh veyntroyv	{"given-name": "shmkhh", "surname": "veyntroyv"}
Muni Weisenfreund	{"given-name": "Muni", "surname": "Weisenfreund"}	muny (mshuim-myr) veyzenreynd	{"given-name": "muny", "alternative-name": "mshuim-myr", "surname": "veyzenreynd"}
Phillip Weisenfreund	{"given-name": "Phillip", "surname": "Weisenfreund"}	yiyp (nkhum-eyvi) veyzenreynd	{"primary-name": "yiyp veyzenreynd", "given-name": "yiyp", "alternative-name": "nkhum-eyvi", "surname": "veyzenreynd"}
Avraham-Yakov Weislitz	{"given-name": "Avraham-Yakov", "surname": "Weislitz"}	brhm-yekb veysiyts	{}: 
Yocheved Weislitz	{"given-name": "Yocheved", "surname": "Weislitz"}	yukhbd (provyzor) veysiyts	{"given-name": "yukhbd", "alternative-name": "provyzor", "surname": "veysiyts"}
Louis Weiss	{"given-name": "Louis", "surname": "Weiss"}	iuys (ioy) veys	{"given-name": "iuys", "alternative-name": "ioy", "surname": "veys"}
Mary Wilensky	{"given-name": "Mary", "surname": "Wilensky"}	mery (mrym kts) vyiensky	{"primary-name": "vyiensky", "given-name": "mrym", "alternative-name": "mery", "surname": "vyiensky"}
Joseph Winogradoff	{"given-name": "Joseph", "surname": "Winogradoff"}	yusf (veynshteyn) vynogradov	{"given-name": "yusf", "alternative-name": "veynshteyn", "surname": "vynogradov"}
Herman Wohl	{"given-name": "Herman", "surname": "Wohl"}	herman (tsby) vohi	{"primary-name": "herman", "alternative-name": "tsby", "surname": "vohi"}
Simon Wolf	{"given-name": "Simon", "surname": "Wolf"}	seymon (shmkhh) vuif	{"given-name": "shmkhh", "alternative-name": "seymun", "surname": "vuif"}
Chaim Yablokoff	{"given-name": "Chaim", "surname": "Yablokoff"}	kheym (yavionyk) yaviokov	{"given-name": "kheym", "alternative-name": "yavionyk", "surname": "yviokov"}
Mozes Yakob	{"given-name": "Mozes", "surname": "Yakob"}	mozes (mshh-yekb) yakov	{"primary-name": "mozes", "given-name": "mshh", "alternative-name": "yekb", "surname": "yakov"}
Yakov ben Yekhezkel from Posnan	{"given-name": "Yakov", "patronymic": "ben Yekhezkel", "nisba": "from Posnan"}	ykb vh ykhzki mpuznn	{"given-name": "ykb", "middle-name": "ykhzki", "surname": "mpuznn", "patronymic": "bh"}
Lola Yakubovitsh	{"given-name": "Lola", "surname": "Yakubovitsh"}	ioia (siysh) yakuvovytsh	{"given-name": "ioia", "alternative-name": "siysh", "surname": "yakuvovytsh"}
Yasha Yanka	{"given-name": "Yasha", "surname": "Yanka"}	yasha (meytes) yanko	{"given-name": "yasha", "alternative-name": "meytes", "surname": "yanko"}
David Yanover	{"given-name": "David", "surname": "Yanover"}	dud yanover	{"given-name": "dud", "surname": "ynubr"}
Mordechai Yardeini	{"given-name": "Mordechai", "surname": "Yardeini"}	mrdkhy (moti sherman) yrdny	{"primary-name": "mrdkhy", "alternative-name": "moti", "surname": "sherman", "nisba": "yrdny"}
Zlata Yaroslavska	{"given-name": "Zlata", "surname": "Yaroslavska"}	ziate yarosiavska	{"primary-name": "ziate", "nisba": "yrusiavska"}
Hersh Yedvab	{"given-name": "Hersh", "surname": "Yedvab"}	hersh yedvav	{"primary-name": "hersh yedvav"}
Rosetta Yeger	{"given-name": "Rosetta", "surname": "Yeger"}	rozeta (pget) yeger	{"primary-name": "rozeta", "alternative-name": "pget", "surname": "yeger"}
Chava Yoelit	{"given-name": "Chava", "surname": "Yoelit"}	khuh (grynshpan) yoeiyt	{"given-name": "khuh", "alternative-name": "grynshpn", "surname": "yuiyt"}
Moshe Yofe	{"given-name": "Moshe", "surname": "Yofe"}	mshh (moysey) yoe	{"given-name": "mshh", "alternative-name": "moysey", "surname": "yoe"}
Nate Yongelson	{"given-name": "Nate", "surname": "Yongelson"}	neyt (nkhn) yongeison	{"given-name": "nkhn", "alternative-name": "neyt", "surname": "yongeison"}
Jacob Yongman	{"given-name": "Jacob", "surname": "Yongman"}	dzheykov (yekb yunkman) yongman	{"primary-name": "ddzheykov", "given-name": "yekb", "alternative-name": "yunkman", "surname": "yngman"}
Bernard Young	{"given-name": "Bernard", "surname": "Young"}	vernard (vuez yungvyts) yong	{"primary-name": "bernard", "given-name": "vuez", "alternative-name": "yungvyts", "surname": "yong"}
Yehuda Yulin	{"given-name": "Yehuda", "surname": "Yulin"}	yhudh (etman) yuiyn	{"primary-name": "yhudh", "alternative-name": "etman", "surname": "yuiyn"}
B. Yushzon	{"given-name": "B.", "surname": "Yushzon"}	v (mshh yustman) yushzon	{"given-name": "mshh", "alternative-name": "yustman", "surname": "yushzon", "salutation": "b"}
Tseshiya Zandberg	{"given-name": "Tseshiya", "surname": "Zandberg"}	tsesh (radoinyk) zandverg	{"given-name": "radoinyk", "alternative-name": "tsesh", "surname": "zandverg"}
Harry Zar	{"given-name": "Harry", "surname": "Zar"}	hery (gbryi zrshevsky) zar	{"given-name": "gbryi", "alternative-name": "hery", "surname": "zar", "nisba": "zrshevsky"}
Gitl Zaritska	{"given-name": "Gitl", "surname": "Zaritska"}	gyti (iyshyts-zeiyger) zarytsk	{"given-name": "gyti", "alternative-name": "iyshyts-zeiyger", "surname": "zarytsk"}
Paulina Zarzhevska	{"given-name": "Paulina", "surname": "Zarzhevska"}	puiyna (keier) zarshevsky	{"given-name": "uiyna", "alternative-name": "keier", "surname": "zarshevsky"}
Berta Zaslavska	{"given-name": "Berta", "surname": "Zaslavska"}	verta (vasye ievyn) zasiavska	{"given-name": "verta", "alternative-name": "vasye", "surname": "zasiavska"}
Vera Zaslavskaya	{"given-name": "Vera", "surname": "Zaslavskaya"}	voyera zasiavskaya	{"primary-name": "voyera zasiavskaya", "given-name": "voyera", "surname": "zasiavskaya"}
Rudolf Zaslavsky	{"given-name": "Rudolf", "surname": "Zaslavsky"}	rudoif (rubn-ieyb) zasiavsky	{"primary-name": "zasiavsky", "given-name": "rubn-ieyb", "alternative-name": "rudoif"}
Aaron Zeitlin	{"given-name": "Aaron", "surname": "Zeitlin"}	hrn (iyezr) tseytiyn	{"given-name": "hrn", "alternative-name": "iyezr", "surname": "tseytiyn"}
Lev Zeitlin	{"given-name": "Lev", "surname": "Zeitlin"}	iev (hrun-ieyv) tseytiyn	{"primary-name": "tseytn", "given-name": "hrun-ieyv", "alternative-name": "iev", "surname": "tseytiyn"}
Shifra Zeitlin	{"given-name": "Shifra", "surname": "Zeitlin"}	shrh tseytiyn	{"given-name": "shrh", "surname": "tseytiyn"}
Leyzer Zhelazo	{"given-name": "Leyzer", "surname": "Zhelazo"}	ieyzer (zheiazny) zheiaz	{"given-name": "ieyzer", "alternative-name": "zheiazny", "surname": "zheiz"}
Ela Zibel	{"given-name": "Ela", "surname": "Zibel"}	eia zyvei	{"primary-name": "eia zyvei", "given-name": "eia", "surname": "zyvei"}
Frida Zibel	{"given-name": "Frida", "surname": "Zibel"}	ryda (zhartovsky) zyvei	{"given-name": "ryda", "alternative-name": "zhartovsky", "surname": "zyvei"}
Willliam Zigenlaub	{"given-name": "Willliam", "surname": "Zigenlaub"}	vyiyam (voif) zygenioyv	{"given-name": "vyiyam", "alternative-name": "voif", "surname": "zygenioyv"}
Karl Zilber	{"given-name": "Karl", "surname": "Zilber"}	kari (kheym) zyiver	{"given-name": "kheym", "alternative-name": "kari", "surname": "zyiver"}
Samuel Zilberberg	{"given-name": "Samuel", "surname": "Zilberberg"}	semuei zyiververg	{"primary-name": "semuei zyiververg"}
Karl Zimbalist	{"given-name": "Karl", "surname": "Zimbalist"}	kari (ekyb) tsymbaiyst	{"primary-name": "tsymbaiyst", "given-name": "ekyb", "alternative-name": "kari"}
Eva Zimond	{"given-name": "Eva", "surname": "Zimond"}	yv (khuh-ssr shteysi) zymond	{"given-name": "yv", "alternative-name": "khuh-ssr", "surname": "zymond"}
Israel Zubak	{"given-name": "Israel", "surname": "Zubak"}	yshri zuvk	{"given-name": "yshri", "surname": "zuvk"}
Regina Zucker	{"given-name": "Regina", "surname": "Zucker"}	regyna (shvartsshteyn) tsuker	{"primary-name": "regyna", "alternative-name": "shvartsshteyn", "surname": "tsuker"}
Nathan Zylbercweig	{"given-name": "Nathan", "surname": "Zylbercweig"}	nsn zyivertsveyg	{"primary-name": "zyivertsveyg", "given-name": "nsn"}
Zalmen Zylbercweig	{"given-name": "Zalmen", "surname": "Zylbercweig"}	zimn zyivertsveyg	{"given-name": "zimn", "surname": "zyivertsveyg"}
Ela Zylberman	{"given-name": "Ela", "surname": "Zylberman"}	eia (zygier) zyiverman	{"given-name": "eia", "alternative-name": "zygier", "surname": "zyiverman"}
